2026-2027学年第1学期工作安排表,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
新课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
职业技术教育学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ISC230302,中级汉语（1）,8,,夏雪飞,11117,,专业基础课,中文,四平路校区,"2025(汉语言(汉语国际教育方向) 13001),2025(汉语言(经贸方向) 13014)",0,1,16,夏雪飞(11117) 星期一1-4节 [1-16] 南416 夏雪飞(11117) 星期二3-4节 [1-16] 南416 夏雪飞(11117) 星期三3-4节 [1-16] 南416
ISC460301,论文写作指导,3,,郑依梅,25128,,实践环节课程,中文,四平路校区,"2023(汉语言(汉语国际教育方向) 13001),2023(汉语言(经贸方向) 13014)",0,1,16,郑依梅(25128) 星期四9-11节 [1-16] 南408
女子学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TWC000101,形体训练,2,,别蓁蓁,01095,,人文经典与审美素养,中文,四平路校区,,0,1,12,别蓁蓁(01095) 星期三9-10节 [1-12] 南校区三教209教室
,人力资源管理与女性职业生涯规划,2,,彭贤杰,02109,,社会发展与国际视野,中文,四平路校区,,0,1,12,彭贤杰(02109) 星期三7-8节 [1-12] 北305
TWC000202,创新思维,2,,俞鹰,04082,,工程能力与创新思维,中文,嘉定校区,,0,1,12,俞鹰(04082) 星期一7-8节 [1-12] 博楼B302
TWC000301,自我认知与人际沟通,2,,樊秀娣,86068,,社会发展与国际视野,中文,四平路校区,,0,1,12,樊秀娣(86068) 星期三7-8节 [1-12] 北208
TWC000401,卓越女性成长,2,,"李岩,颜琼枝,何敏娟,徐红,肖辉,马锦明,于一凡","03104,2000512,88055,92156,92193,95013,96016",",,,,,,",社会发展与国际视野,中文,四平路校区,,0,1,12,马锦明(95013) 星期四7-8节 [1] 南209 何敏娟(88055) 星期四7-8节 [3 11] 南209 肖辉(92193) 星期四7-8节 [5 10] 南209 徐红(92156) 星期四7-8节 [2-4双] 南209 李岩(03104) 星期四7-8节 [12] 南209 颜琼枝(2000512) 星期四7-8节 [6-7] 南209 于一凡(96016) 星期四7-8节 [8-9] 南209
TWC000502,国乐艺术赏析——古筝演奏中级,2,,陈珏,03121,,人文经典与审美素养,中文,嘉定校区,,0,1,12,陈珏(03121) 星期一5-6节 [1-12] G408
中德工程学院,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CDH451601,德国合作高校课程,30,,谢楠,09060,,专业选修课,德语,嘉定校区,2023(机械电子工程 51014),0,1,16,谢楠(09060) 星期五7-8节 [1-16] 德国高校学习
CDH451602,德国合作高校课程,30,,周春燕,02151,,专业选修课,德语,嘉定校区,2023(机械电子工程 51014),0,1,16,周春燕(02151) 星期五7-8节 [1-16] 德国学校学习
CDH451603,德国合作高校课程,30,,郭为安,14015,,专业选修课,德语,嘉定校区,2023(汽车服务工程 51024),0,1,16,郭为安(14015) 星期五5-6节 [1-16] 德国学校学习
CDH451604,德国合作高校课程,30,,张永明,14152,,专业选修课,德语,嘉定校区,2023(建筑电气与智能化 51034),0,1,16,张永明(14152) 星期一7-8节 [1-16] 德国学校学习
CDH331401,自动控制原理（2）,3,,靳文瑞,09062,,专业基础课,中文,嘉定校区,2024(汽车服务工程 51024),0,1,16,靳文瑞(09062) 星期二1-2节 [1-15单] 诚楼C402 靳文瑞(09062) 星期四5-6节 [1-16] 诚楼C402
CDH450401,智能制造系统原理与实践,2,,谢楠,09060,,专业选修课,英语,嘉定校区,2023(机械电子工程 51014),0,1,16,谢楠(09060) 星期一3-4节 [1-16] 济事楼126
CDH330401,智能传感器与执行器,4,,WenminQu,1400433,null,专业基础课,德语,嘉定校区,2024(机械电子工程 51014),0,4,12,WenminQu(1400433) 星期四7-10节 [4-6 12] 复楼F102 WenminQu(1400433) 星期五5-10节 [4-6 12] 复楼F102 WenminQu(1400433) 星期六1-6节 [4-6 12] 复楼F102
CDH330402,智能传感器与执行器,4,,庞玮,25219,null,专业基础课,中文,嘉定校区,2024(机械电子工程 51014),0,1,16,庞玮(25219) 星期四7-8节 [1-16] 安楼A309 庞玮(25219) 星期五5-6节 [1-16] 安楼A309
CDH455001,建筑碳中和技术前沿,2,,"张永明,苏灵奇","14152,24154",",",专业选修课,中文,嘉定校区,2023(建筑电气与智能化 51034),0,1,16,张永明(14152) 星期一1-2节 [1-3] 诚楼C411 苏灵奇(24154) 星期一1-2节 [4-16] 诚楼C411
CDH341301,智能感知技术,2,,张永明,14152,,专业必修课,中文,嘉定校区,2024(建筑电气与智能化 51034),0,1,16,张永明(14152) 星期三5-8节 [1-8] 诚楼C413
CDH455201,建筑智能仿真技术,3,,庄智,11130,,专业选修课,英语,嘉定校区,2023(建筑电气与智能化 51034),0,1,16,庄智(11130) 星期一3-4节 [1-15单] 济事楼214教室 庄智(11130) 星期五3-4节 [1-16] 济事楼214教室
CDH455301,区域能源与低碳规划,4,,范蕊,06096,,专业选修课,英语,嘉定校区,2023(建筑电气与智能化 51034),0,1,16,范蕊(06096) 星期二3-4节 [1-16] 济事楼126 范蕊(06096) 星期五5-6节 [1-16] 济事楼126
CDH454901,建筑能源管理与节能新技术,3,,庄智,11130,,专业选修课,英语,嘉定校区,2023(建筑电气与智能化 51034),0,1,16,庄智(11130) 星期一3-4节 [2-16双] 诚楼C411 庄智(11130) 星期四1-2节 [1-16] 诚楼C411
CDH354201,建筑智能环境学,3,,"庄智,苏灵奇","11130,24154",",",专业必修课,中文,嘉定校区,2024(建筑电气与智能化 51034),0,1,16,庄智(11130) 星期三3-4节 [1-7单] 诚楼C411 苏灵奇(24154) 星期三3-4节 [9-15单] 诚楼C411 苏灵奇(24154) 星期五1-2节 [9-16] 诚楼C411 庄智(11130) 星期五1-2节 [1-8] 诚楼C411
CDH230401,德语（四）,12,,刘静,02168,,专业基础课,德语,嘉定校区,"2025(机械电子工程 51014),2025(建筑电气与智能化 51034),2025(车辆工程 51035)",0,1,16,刘静(02168) 星期一5-8节 [1-16] 诚楼C403 刘静(02168) 星期四1-4节 [1-16] 诚楼C403 刘静(02168) 星期五5-8节 [1-16] 诚楼C403
CDH230402,德语（四）,12,,朱金锋,15666037,null,专业基础课,德语,嘉定校区,"2025(机械电子工程 51014),2025(建筑电气与智能化 51034),2025(车辆工程 51035)",0,1,16,朱金锋(15666037) 星期一5-8节 [1-16] 诚楼C402 朱金锋(15666037) 星期四1-4节 [1-16] 诚楼C402 朱金锋(15666037) 星期五5-8节 [1-16] 诚楼C402
CDH230403,德语（四）,12,,葛彦之,00079,,专业基础课,德语,嘉定校区,"2025(机械电子工程 51014),2025(建筑电气与智能化 51034),2025(车辆工程 51035)",0,1,16,葛彦之(00079) 星期一5-8节 [1-16] 安楼A405 葛彦之(00079) 星期四1-4节 [1-16] 安楼A405 葛彦之(00079) 星期五5-8节 [1-16] 安楼A405
CDH230404,德语（四）,12,,VERENA HAHN,2500022,null,专业基础课,德语,嘉定校区,"2025(机械电子工程 51014),2025(建筑电气与智能化 51034),2025(车辆工程 51035)",0,1,16,VERENA HAHN(2500022) 星期一5-8节 [1-16] 安楼A407 VERENA HAHN(2500022) 星期四1-4节 [1-16] 安楼A407 VERENA HAHN(2500022) 星期五5-8节 [1-16] 安楼A407
CDH230405,德语（四）,12,,RABENECK SOREN,2300081,null,专业基础课,德语,嘉定校区,"2025(机械电子工程 51014),2025(建筑电气与智能化 51034),2025(车辆工程 51035)",0,1,16,RABENECK SOREN(2300081) 星期一5-8节 [1-16] 安楼A409 RABENECK SOREN(2300081) 星期四1-4节 [1-16] 安楼A409 RABENECK SOREN(2300081) 星期五5-8节 [1-16] 安楼A409
